央视频道,#genre#
贵州卫视,http://39.135.34.145:18890/000000001000/1000000002000003169/1.m3u8?channel-id=ystenlive&Contentid=1000000002000003169&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000003169&owchid=ystenlive&owsid=1106497909461328035&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhEobBU2fUvDIVr2YUAB3sQC3mtTDqCyM2IHfZcfgwbCVw3In3iCPMx3CBGKKivBM4
甘肃卫视,http://39.135.34.158:18890/000000001000/1000000002000017827/1.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000017827&owchid=ystenlive&owsid=1106497909461366475&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhA4sBZEsqnSa3KvsIaVI9wPS8Gj6lJe1Zo41ze%2fWmzecpyT4Tmxoc1paT1vcrQhVS

港台,#genre#
TVB翡翠台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=6qxSYHSIptzinr0AhIDiB%3DCuhJTgW2Vjg4TMVqh%3DD7fUW9jDWuEJk5GCCByyr#https://4graurmtwghzdrcbqgeao.ourdvsss.com/hdl0901.plures.net/onlive/a195f07a-caaa-4c4d-930a-1156e791abc.flv
TVB無線新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QafK%3D%3D0q0h8MoOpTsTrOySFinUYJ9P8Ts%3DUPlXJNVNMavjOXlVYm6RYmqRcqH
TVB無線財經資訊台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=lpch8kTltzzauzMp4vD06ozh60%3DZ9wAcDnQZ9oPV8vAAw3juuqvlLgDBupwN6
TVB J2台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=xxrAHsGu3zo7ZgGG3zYrYsp-0x4LVs2xI94ndfmNDxIHKwpO30rEYcJO30orW
TVB明珠台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=04tmIDHaPkYLN%3D8kg9r4Ryc6auOzKivsc09vNkd0NEr9MHt7856yghLLO2pcd
TVB星河,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=HIVAhJNAfFSVhIgCzHuKcHvKjRcATICUhKNHx5yNiIAalYBieKSKzCPgRJS%3Dy
鳳凰衛視中文,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=VFEcrSdaAhtQoR0crTKPrX678ExfASKu3VK36EhgtSKetm9crHkk8PdzrYK%3DG
鳳凰衛視資訊,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=-ClqCAFpVQ2xoCsKWs14B96VDPIXUui7Su0TpvKZu%3DE7YMmWb%3D3Up%3DYGDBCsw
凤凰香港高清,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=zFMtYutz%3DiYshhLlh384L5cqKj9qJhoAbheti2sd7EftOywP9jrJdeO6O5skU
凤凰中文,http://liveali.ifeng.com/live/FHZW.m3u8
凤凰资讯,http://liveali.ifeng.com/live/FHZX.m3u8
香港衛視HKS,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KMwQl4i%3D0K1CURBUeLTQhIJ7z3SSgViXeUOAhNAv7DfHlaFiTSBZfIjkh-WD7
香港開電視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KXQv84%3DwjJiaRPxIdLwci9WMg5SB0KynkKBHtLw4nDf7laFiTSBZfIjkh-WH7
ViuTV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=LKDGVMBCoICBS5jYlPHERUW9kNBh0TVBSGDBSPXMSJT1Wd0moKFZk2WlSQXbu
星空衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=n11PDWzgCw-Exh0gUXwjEVus84SRQoSv8WzNskOz8VR4FoQvEXh1%3DoyuCryPC
耀才財經,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=J7QNjZN6y8gJdNACwIz9bZwuvHgxiNN%3DcHgFcZwyxIzFReAPe-DKfKgPe-Axk
港台電視31,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=J7g-NO9Cy9wRiaguu7D1jPQDbIwNcNw6tHACPO9LeIQNReAPe-DKfKgPe-A1b
港台電視32,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=FPKvZDY6bIsaiP63eCYKcI8JyP9zZE7OdHvBuDqOuP4CRXviiG9Hs%3DbfPJ8Fv
澳門衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=54zB-t8sPCAER48Lh4AUP48vj2QIQts7e4AERsP0P2D0A8vQP5DNOoPQP5A4N
澳亞衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=y4uuYg%3DlLtR062Xq4mq0MkutPt7hNE8152I94DOnMs8Z-xxQ63qGJh6QPl7cd
Fashion TV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=TOnfnC6StWuGnWoYoWMq4DKS6MnfbXrTYW4NXWPjpPHmrR6vdZeToTrZYZMS-
HBO HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=mqiY%3DWrjEnFjCny0-lrsPkdvNWAgNjsQRpeyYlM2SoOtu1hw-utmOlCw9XrjC
HBO2,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=HSlTxWATv6VBZHzO1TxCfJPNyFsYOTVTvWdDs7C5cHA6lYBieKSKzCPgRJSDz
環球電視台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=yDRjOgcdMsOM80a5Kw3MOjecbi74i3Z0KBIcF4BrKs85-xxQ63qGJh6QPl7ci
香港有線新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=WVNOsiBQ5aJrtYdgbSgTAUwLvXwYtSJTsUayomersV8mwoOsxVko-QteqZeU4
香港有线高清603台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=nqinAjjpulu0xWUwXjtSQVeo-4ShToCstizRtmezEix8FoQvEXh1%3DoyuCryX9
香港有線娛樂台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=XiPZ2msw8Jw8-baJxamnskgRrQ%3DlAWvl2ccY6IAE9ldNipWztbgZ-BvyrYPYE
功夫台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=kgfiqUS1sfL25lTZ%3D0CPogtLM2oc-pJa8zaZVSth9T5QAkfCpWy56Pu%3DrowR8
Discovery,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=BSK5sK0vYHaRrKU%3DWSKBvJX0DTKFu9ELYSt2eKU3ZSqJeO3MGJNOs6XMGJK9u
Discovery科学,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=npCP9W2Q9w-3CVEgYZNPGVRcCsvRTo1X8iDM7mO8yhRcFoQvEXh1%3DoyuCryXB
Discovery Asia 頻道,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=1yU1OjPBSku5ayR1PjfpSlRtbnxS8wPBMkuBWmxC9v%3DJ%3D1hKJoEKPgSK9nuxd
三立綜合台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=VQBL8TqbpVqcsGUMrSdfoidAsQ0YrTdS3VaTAEUYsSKWtm9crHkk8PdzrYKDA
三立都会台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=4FB%3DBHg9kst8o6D-%3D2vTdpwrPpS1N6BH%3DIwuP3wolGA9EHiURsD7elVSB8x6M
三立戲劇台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KLw0lDSwlJiJiPxUcNTUg7Z4iEiCgKyPfJRPwMQP84%3DDlaFiTSBZfIjkh-W7t
三立台灣台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=gjmSHdqZIpJd2w0ZEUXQPpI06dafJhjr3dqtFeJWnlXp2jXp7grt6aq81kjWD
中天新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QbcSB%3DUG6icYjaMSAfu3jT1J8UFZ6PfLt-0q0hZZXNcWvjOXlVYm6RYmqRcW8
TVBS新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=HSyAdLADz6iePTDLkH-RtHCBxG%3DLhHSEfJQLw5iGNTAOlYBieKSKzCPgRJSLw
東森新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=lnMIHwgo9mDh8pvZ4vApwmAZ8ockKvApsowpAz%3DULvQsw3juuqvlLgDBupwZA
三立新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=GFN1ZEyNqHwOvKtSaELfuEeZ2X0%3DuBMAyHKbyXCesG-6ec%3DcfMUcyAgNaHSJv
壹新聞,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=AIVvg%3DMCT7pFJREMX8DLdKW6W9JeXJlAU0MxlumNHG0QIA2LdAG%3DX5MeV%3D1zp
民視新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=AI48W-PGUvGAfFkwXxDKuJjmU88SS94np%3DfKSuGIdSX4IA2LdAG%3DX5MeV%3D13g
中視新聞,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=%2BAn6rxV2lJMNdvsHmDs9SOZ6YFY-oLn-wy16p9cBX6sLXT%3DKGFJOqCLHaCEKq
年代新聞,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=NJnRmIkW39HIgKkNqHkK4IXRR9XVo7UjoIUVR%3DEFm80apN3pUAXh44nrn%3DEYi
非凡新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=PLUA0O2EXdlOtP6DmA5JlMHOlLaWkNEFlaZDkeILaPnHXRJmXCKi27anYOEI2
寰宇新聞台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=1nBtUvfm6wuxbmk9Sk%3DlOwOJdyxy8j%3D2%3Dx-BXlh28w%3DF%3D1hKJoEKPgSK9nu5Z
寰宇新聞2台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=Qa8XrAXPoWpgmaJW5SbS4UYeoh1mrOfSA%3DHK5iJYqZcSvjOXlVYm6RYmqRca9
八大綜合台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=Ynckgnwh%3DV1RCXES7bwPBpxdHJCiJbcnxb9hEVSFCYUuvsD0ugkmDG1v1dcj0
八大娛樂台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=kTch5VvA-fuy%3DxAZ7pSLnVgPJ1rUCo5S8zKuCeqhAfZIAkfCpWy56Pu%3DrowZ%3D
東森電影,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=obyFDkPnC3D1DqlTFtXcSrkzUtShBmF5FYPsysjiw1leF9nxAuk8UqyBDdy0a
東森超視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KYg743S0jVyFkQuJPMQbw8Gzs3CChJiLiVRTtLQP23y7laFiTSBZfIjkh-WDs
東森綜合台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=-Co5Q-S8jQDtsD5%3DCsVUCJN5HEL6mti3R5ULhv9OY-k3YMmWb%3D3Up%3DYGDBC4i
東森洋片,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=8Kj1g9WEEGDHnqAAj%3DyHQqy9TFm9Vsl5O9ElkIT3S6AlVOjSU%3DJ8W2DUVsAIj
東森幼幼,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=noifCi2Y9w-vFVU0RZQiSWhtw4iNU0yYtWjQBxOjCi0sFoQvEXh1%3DoyuCryj-
東森戲劇台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QacK5AUrnWZsnapLre-LiSVV3Ull%3DQcPsLkayh5MoO5OvjOXlVYm6RYmqRce9
好萊塢電影台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=iT5mzmFvNUaKLP%3Df4obb3n5xLvtkAUdXNrau7fZ3oml3AlNr-SvvLjusqpWxI
龍祥時代,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=54AwPtv%3DkCAN-3cwN4wwPsM8M3QB%3Ds8ANCQwPrMLkCAMA8vQP5DNOoPQP5AIR
華納 TV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=MXmH5A4QmJ4U0N5arAPVySDHjQ1-oVUF5-Bg6bI3iKgNWbGomBIZlGrViPWar
星衛電影台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=u8J23payYsnsGgX%3DehUsftpW5uppEx3RXzk42hzsGv7g3BsG3gp9HtJK4g3CR
美亞電影台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=igpnolVfTgtSNcsqPy7T4mGpKktVrftfQeai%3DT5boxobAlNr-SvvLjusqpW1D
中視HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=anlK6L-LDXyvkXA7AZSnFXdGfkzYxrBfgIuqic4DsJhjzcV3iZTY%3DWl02NdZu
台視HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=%3Dz7EYHUBUuH1WC6uGN0zhN2mZxz6Wy4JGIEVT63FRP35LRnUVDG%3DYtWbI04QV
民視HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=x9L3Xgpu3yIIHrWNE9rsIh5-2xLrYrWy5zo8FfZtDzr3KwpO30rEYcJO30oDZ
公視HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=A-1%3DozcxmvmNMRUQX8G6t9W2WI5Nl9I8S-s5numIZSUQIA2LdAG%3DX5MeV%3D1%3Dm
華視HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=7t%3D0B1v4Xs1p-tj4d43vVtPAD1SvosSkTtjoh4kECtyvG5yQVu19QoGBQ6E7W
龍華洋片,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=URNYsUBcqacB5GrdskbTzSYJdWLdxWJucBnC8GbcuEjRbhAtcXhlqWfaoJbUA
龍華电影,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=21O2OpNl9FwkjE7pQBSjMmy684xx5F8cIo-EdkS7clw9C0i9Q8uJfx-SNrq4R
龍華影剧,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=XhPQBnMk-Jw9rbaahljq-ltdvEPh9W%3DUImclwKNQ7ldRipWztbgZ-BvyrYPsA
龍華戲劇,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=VFEb5eta4idQqGkQqTKroWtIpEUUueKPtiKUsQBT-eKStm9crHkk8PdzrYKX4
龍華偶像,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=53TJAt83jDQMSscQOCjAT4%3D%3DkCDIL4sIMCAV74Pzg2TAA8vQP5DNOoPQP5AQM
龍華動畫,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=OSaRkSECmM9NmTbI29K2i%3DKYlbsamNjkqXXAAN2LmQE0qOEWYWWg6OqmUTEek
博斯網球,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=fPHR2b0dmM4lirpHleDHIQTFmcUzIPqmiQElmOYdkhcSquGo1TWd5Nn46RXx0
博斯運動1,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=eNkIFpJq0tqVNdXdydnqLbod0ukVJOVZJrpdHfrV1pWT3zYo5jnyFK3lzgpy4
博斯高球1,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=%3D9LEZI0Ijv3ooCnpcAH4UMD-b9DCXxYQWIUEp7HtSDnxLRnUVDG%3DYtWbI04UX
博斯高球2,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=LJWFjYkKlISVW6zUnOKDhUDuTZRh5USUi6DImPXcRJzNWd0moKFZk2WlSQXbm
博斯魅力,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=obVoXY%3D%3DDrTtF0CyPu0l-4kzVuCsRby8UkvnEszF-1COF9nxAuk8UqyBDdyAZ
博斯無限,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=45R7-8jxd3AlQ5TGC3fQPpDmcpy--5k%3D%3DIzxk2A1V5zxEHiURsD7elVSB8xKV
博斯運動2,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=y3xqZh8W9t-840n5NmXDhuOsbiedP3J0E1rd25uuYhch-xxQ63qGJh6QPl74Z
亞洲旅遊,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=SAaL5gGUtSWAahOAkX43wErUob-WUEqltL5YmLND6gpLxi5cbXeQ3UrYbGbsk
baby first,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=MKWH1L4JUV79gYWamKvSiRTG2RF2rIkZ79xM0PoGx-wRWbGomBIZlGrViPWmk
亚洲电视新闻台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=UdAhbgxYom8B1G7FtYbG9FbMyVroCVZpuDKG5EOjBCQVbhAtcXhlqWfaoJbc7
DWTV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=bcEguJii3cAzzXuh2bmb0nkEtJCbibQz1LOShbDjtoU%3DxaFzkeTs1IxijdTzx
CNEX,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=TPHe4BaSuieOljb8qXvi6D3i8MKfbir6rWI0sica7PXKrR6vdZeToTrZYZMu9
BBC News,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=0CKmICahdxIzLzMlLx759xpyXi-3JuPsa-NvLltF76rxMHt7856yghLLO2p8g
台視综合,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=7s%3D%3DQofPksl4UrzdP3kwAtikF0f3h4iF-sT1R3E7VtPrG5yQVu19QoGBQ6EDW
台视财经台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=N-Uo58EHm9XNVJUVl8EW6-0Yo-kk9HUG0J0oiKkg57EepN3pUAXh44nrn%3DEoo
中天综合,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=1xB5RjvBPw-uLmB-Ak%3D29kOyJy0-%3DwCq%3Dlh6JmE9Pki5%3D1hKJoEKPgSK9nupVlusa
中天娱乐,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=36gb-JBrf2yke4bSRyNEn4S1ewP757Q-MJxrkqvcj3e6D3gVS6F6ghSP89weK8-qu
中天亚洲,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=YbsbzntewVyRAW3eBogX6qxmxJiiBbPj0dd1HhCOwWEqvsD0ugkmDG1v1dcTtbqQN
中視經典,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=jlLM4n4SRmIZJUYb2Uef4lro-oIaQmo5PU4%3D7UryHxOQr4Lr8pr2MRrApVreFmoHE
壹綜合台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=WfaV9YRdpZJm9XKLvSdf7ggmEj9T-FpW7hqeoahW8fsWwoOsxVko-QteqZeM3a2NK
壹電影台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=8Jw1i8GzT6T3q1QNV%3DlqfryBOGGIj3VKAHE2S-2LYuDpVOjSU%3DJ8W2DUVsA0gBfhs
緯來體育台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=MXjT4L1ElJoMzYmDV-vV2eDfmbl3YJnSp9xE0Q1zh%3DANWbGomBIZlGrViPWGj-8w8
緯來精采HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=KLj8k3fEkLCRmQ-EhLTQg82vw3FKiWVUNUej0Xz0k3izlaFiTSBZfIjkh-Wvt3P8-
欧洲体育(HD),http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=CFpAeMuFXQMPsRaHvw6WYPLAyGKEc%3DdEpH84tGZQcBudKU%3DYbHKYttdeXGL4sFE24
FOX 3HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=QOfS9%3DEnlWsZTOcSCTOK4fVl5hFCpPvTp-HLoXZgrN5evjOXlVYm6RYmqRcK5-xFB
ELEVEN 1,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=DzqweRb4pEGGMzvSKxaHZ-KMfFuxbDJqM1S9fy6OjxKDiWuJbFJCbwieMzK6kyHm7
ELEVEN 2,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=GD9EqFVSZHQO1WKTMD7XpPu-gXUMbBMMvGdPwLy-pHLGec%3DcfMUcyAgNaHS9oIt9-
TRACE Sports,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=oaikZZfrH3z9D0yqUs3cOr0nZ6ywSaSpDY%3Dz%3DrGlCpCiF9nxAuk8UqyBDdykSaceN
八大戏剧,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=hgVa6emq5gldLqZhIsFu-e2S7sIZMq5lKs1tSrZlQhFV%3DvJ28joyNbp28jlZKgTQX
八大第1台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=w%3DGbEh8vXvZkEy93UsXkLza7MgW6dAm3EgMAKwmd2zqnJwa4K29AHd5LL22XGfmmm
迪士尼卡通,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=%2BLHGu9I%3DZ9pJdu8MWOPqGPGFnRIysA0ba-1-jKJ5cw87XT%3DKGFJOqCLHaCE6rxC1y
TLC旅遊生活频道,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=xyLrXr2NE9I3bgWBH-4EKh5u1zY7brW1MybwHgWFDzYnKwpO30rEYcJO30orWfToS
動物星球,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=bbXQxLFW0ngn1YOihnTUjbnUwJSS5cTbzMOB3aDkhbkTxaFzkeTs1IxijdTTvcB-K
國興衛視,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=kUvirUvA8T7-Algl4p%3DfnWtc-1YnT05Xsn6aAeKsNTZgAkfCpWy56Pu%3DrowJ5p8FF
TVBS(HD),http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=URtsxURcplMR4TeMAZO6CFYZcV-VwW8ieNXPtGbj8DzRbhAtcXhlqWfaoJb86Y41M
TVBS精彩台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=ghDODd9lOcMmmkkhGSUYIqro8dn00jTKDQNZOd5t2kHl2jXp7grt6aq81kjKDSXQU
TVBS欢乐台(HD),http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=BSd5rJkEHSd1vJk7SHaWc9k%3DXGNFu9XsHHaFp%3D0LSHd9eO3MGJNOs6XMGJK1q%3DBmh
華藝影劇台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=WTqd7iug9mcmDidPufdUqfzWHktn9R5eAV6upaBW4TsqwoOsxVko-QteqZeM6ZWNK
高点综合台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=45R-P8Q9h29sf6QxWCv3f2zycqCRN5xqSIDtlqNtR5Q1EHiURsD7elVSB8xuP7Ncs
客家電視台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=4GB%3DC8jtdrt8iGzGDCC0TpDyhpFyA5xzA7gmPqQ1V7gxEHiURsD7elVSB8xuP8tcs
原住民族電台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=eOUYDfZe1t3tJqnZ3ckqFRrpyiHayMSu8e2tGe7aleTn3zYo5jnyFK3lzgpW2ikQU
民視台湾台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=kUcx3fvc7ULi-lDSrpiW7gAbLrbXT1JLrn6-BSKAUe8MAkfCpWy56Pu%3DrowJ6pMFF
民視第一台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=UddsqVRMrZ%3DCnGrMBXOHuRIUygrhwVpttBaLtRbf8Dg5bhAtcXhlqWfaoJb87ZI1M
公視2台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=anoGAJuczMSqzjAT7ZSo3LARujwczgRaxHuRvolLuJxfzcV3iZTY%3DWl02NdBvXN-O
公视3台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=AJ13hyv2TuWRIF0AbvjHcKzvJ9ZJmI4zny%3DJouJFHH04IA2LdAG%3DX5MeV%3D1nkyJwv
Z頻道,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=IGdCQJszfH8Ku2O-cSBUM4QDf7u5j6tRnJsEST%3DGr1hBgW0gN6DXt3hOP8N9iHZqs
MTV,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=CGmDrARBZFM%3DuR3bwy69lF-ItR6PwMKEkHM8nRGLuBOFKU%3DYbHKYttdeXGL4vGk24
DMAX(HD),http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=wAGXMh5Lg8ZgD0q%3Dbs3fX19zIsGqfz5XKf5%3Ddvm51%3DqvJwa4K29AHd5LL22XIgGmm
国家地理HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=A8F7hzM5k6WxMHHAT8Gyv-jyXJp9m918Uyf1j7GMWG0EIA2LdAG%3DX5MeV%3D1nkzpwv
国家地理悠人,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=z4clatA6Ms4Iaheli2%3Dl258qJig-Rg4MciLld2swL5cZOywP9jrJdeO6O5sYJ6pUn
国家地理野生,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=ExgPLzOZc3NEJI5HHJD6MQBptCQ2fV4FrH7GoC4H1z8bhCAbO0RaZydgJJJuZJNko
BBC earth,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=0DKX8DnuRkIueA5ge8458-JrJkbqVt%3D9KzNA8mw15EupMHt7856yghLLO2pcfwVrX
ANIMAX HD,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=21LNb19sLEgZR3b4kC%3DzTkv--FRt65s0MpbJTmCEOlwBC0i9Q8uJfx-SNrqgN4NXr
BoomErang卡通,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=Xi%3DUCbsxvIdBubaVuYDnvZ9QBFcl%3DVfwEbMwBJAACa6hipWztbgZ-BvyrYPQFa5LJ
CN卡通台,http://www.liveviptv.xyz/tv_app/vipzb1/gangaotai/token.php?token=htldNqWa7sli8fma-hVlLfZlOtl1Pqpe9hlZSfWS9hod%3DvJ28joyNbp28jlZOfDQX
